Zipcode,City,Area ID,Area Name,Crime Code,Crime Code Description,Date Occurred,Date Reported,DR #,Latitude,Longitude,Location,MO Code,Premise Code,Reporting District,Time Occurred,mo_descriptions,count_of_crime,charge_of_violations
90014,los angeles,01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2010-03-18,2010-03-18,100100723,34.0424,-118.2493,300 E  7TH                          ST,0329 1217,211,0165,0250,"{'0329': 'Vandalized', '1217': ""Teenager(Use if victim's age is unknown)""}",2,2
90079,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-03-18,2010-03-18,100100724,34.0482,-118.2472,400 S  MAIN                         ST,0400,210,0145,0015,{'0400': 'Force used'},1,1
90079,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-03-18,2010-03-18,100100725,34.0482,-118.2472,400 S  MAIN                         ST,0400,210,0145,0015,{'0400': 'Force used'},1,1
90014,los angeles,13,Newton,624,BATTERY - SIMPLE ASSAULT,2010-03-19,2010-03-19,100100726,34.0371,-118.2475,800 E  8TH                          ST,0416 0429 0917 1804,203,1307,1000,"{'0416': 'Hit-Hit w/ weapon', '0429': 'Vict knocked to ground', '0917': ""Victim's Employment"", '1804': ""Susp is/was victim's employer""}",4,4
90014,los angeles,01,Central,210,ROBBERY,2010-03-19,2010-03-19,100100728,34.0446,-118.2450,5TH,0305 0344 0416,504,0147,1140,"{'0305': 'Attacks from rear', '0344': 'Removes vict property', '0416': 'Hit-Hit w/ weapon'}",3,3
90012,los angeles,01,Central,647,THROWING OBJECT AT MOVING VEHICLE,2010-03-20,2010-03-23,100100730,34.0627,-118.2463,CESAR E CHAVEZ,,122,0111,1215,{'nan': 'Unknown code'},1,1
90012,los angeles,01,Central,330,BURGLARY FROM VEHICLE,2010-03-21,2010-03-21,100100731,34.0635,-118.2458,BARTLETT,0344 0906 1402 1609,101,0111,0320,"{'0344': 'Removes vict property', '0906': 'Gangs', '1402': 'Evidence Booked (any crime)', '1609': 'Smashed'}",4,4
90029,los angeles,11,Northeast,946,OTHER MISCELLANEOUS CRIME,2010-03-21,2010-03-21,100100733,34.0917,-118.2741,WAVERLY,1402,102,1171,1000,{'1402': 'Evidence Booked (any crime)'},1,1
90014,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-03-21,2010-03-21,100100734,34.0452,-118.2534,700 S  BROADWAY,0416 0419 1202,501,0163,1315,"{'0416': 'Hit-Hit w/ weapon', '0419': 'Pulled victims hair', '1202': 'Aged (60 & over) or blind/crippled/unable to care for self'}",3,3
90017,los angeles,01,Central,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),2010-03-22,2010-03-22,100100736,34.0480,-118.2577,700 W  7TH                          ST,0344 0601 1402 1606,404,0162,1330,"{'0344': 'Removes vict property', '0601': 'Business', '1402': 'Evidence Booked (any crime)', '1606': 'Open/unlocked'}",4,4
90015,los angeles,01,Central,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,2010-03-19,2010-03-22,100100738,34.0317,-118.2641,1800 S  MAIN                         ST,0416 0552,502,0195,1730,"{'0416': 'Hit-Hit w/ weapon', '0552': ""Suspect is Victim's Father""}",2,2
90071,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-03-22,2010-03-25,100100740,34.0516,-118.2526,4TH                          ST,0416,101,0142,1915,{'0416': 'Hit-Hit w/ weapon'},1,1
90017,los angeles,01,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),2010-03-22,2010-03-24,100100741,34.0480,-118.2577,700 W  7TH                          ST,0433,203,0162,2030,{'0433': 'Makes victim kneel'},1,1
90015,los angeles,01,Central,310,BURGLARY,2010-03-23,2010-03-25,100100743,34.0320,-118.2667,200 W  WASHINGTON                   BL,0344,203,0192,0125,{'0344': 'Removes vict property'},1,1
90026,los angeles,01,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2010-03-23,2010-03-23,100100744,34.0717,-118.2493,1200    INNES                        AV,0311 0329 0906,501,0101,0230,"{'0311': 'Graffiti', '0329': 'Vandalized', '0906': 'Gangs'}",3,3
90014,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-03-24,2010-03-24,100100751,34.0446,-118.2450,5TH,0400 0416,102,0147,2015,"{'0400': 'Force used', '0416': 'Hit-Hit w/ weapon'}",2,2
90017,los angeles,01,Central,946,OTHER MISCELLANEOUS CRIME,2010-03-25,2010-03-25,100100753,34.0475,-118.2657,900    GEORGIA                      ST,0906 1501,502,0171,0240,"{'0906': 'Gangs', '1501': 'Other MO (see rpt)'}",2,2
90015,los angeles,01,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,2010-03-27,2010-03-27,100100756,34.0454,-118.2657,900 W  OLYMPIC                      BL,2000,503,0171,0530,{'2000': 'Domestic violence'},1,1
90014,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-03-27,2010-03-27,100100757,34.0474,-118.2531,600 S  HILL                         ST,0400,201,0152,1140,{'0400': 'Force used'},1,1
90079,los angeles,01,Central,946,OTHER MISCELLANEOUS CRIME,2010-03-26,2010-03-27,100100758,34.0496,-118.2458,100 E  3RD                          ST,1501,502,0135,1500,{'1501': 'Other MO (see rpt)'},1,1
90013,los angeles,01,Central,251,SHOTS FIRED AT INHABITED DWELLING,2010-03-28,2010-03-28,100100759,34.0449,-118.2415,500 E  4TH                          ST,0906 1100 1402,213,0148,0055,"{'0906': 'Gangs', '1100': 'Shots Fired', '1402': 'Evidence Booked (any crime)'}",3,3
90017,los angeles,01,Central,946,OTHER MISCELLANEOUS CRIME,2010-03-28,2010-03-28,100100760,34.0450,-118.2640,800 W  OLYMPIC                      BL,1402,210,0171,0100,{'1402': 'Evidence Booked (any crime)'},1,1
90014,los angeles,01,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2010-03-29,2010-04-01,100100764,34.0373,-118.2503,SAN PEDRO                    ST,0329,203,0176,2320,{'0329': 'Vandalized'},1,1
90012,los angeles,01,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2010-03-31,2010-03-31,100100765,34.0635,-118.2426,700    ALPINE                       ST,0329 0421,501,0111,1515,"{'0329': 'Vandalized', '0421': 'Threaten to kill'}",2,2
90014,los angeles,01,Central,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),2010-04-02,2010-04-03,100100772,34.0416,-118.2584,HILL,0344,108,0182,2230,{'0344': 'Removes vict property'},1,1
90012,los angeles,01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2010-04-03,2010-04-03,100100773,34.0644,-118.2387,COLLEGE,0329 1402,122,0111,0001,"{'0329': 'Vandalized', '1402': 'Evidence Booked (any crime)'}",2,2
90013,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-04-05,2010-04-06,100100777,34.0442,-118.2439,500 S  SAN PEDRO,0416,710,0157,1940,{'0416': 'Hit-Hit w/ weapon'},1,1
90079,los angeles,01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2010-04-02,2010-04-05,100100781,34.0537,-118.2455,100 N  BROADWAY,0329,108,0123,1900,{'0329': 'Vandalized'},1,1
90017,los angeles,01,Central,510,VEHICLE - STOLEN,2010-04-08,2010-04-08,100100786,34.0481,-118.2633,FRANCISCO                    ST,,101,0161,0220,{'nan': 'Unknown code'},1,1
90014,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-04-08,2010-04-08,100100788,34.0460,-118.2509,200 W  6TH                          ST,0416,101,0153,0920,{'0416': 'Hit-Hit w/ weapon'},1,1
90079,los angeles,01,Central,210,ROBBERY,2010-04-10,2010-04-10,100100792,34.0496,-118.2458,100 E  3RD                          ST,0302,406,0135,1710,{'0302': 'Aimed gun'},1,1
90079,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-04-11,2010-04-14,100100797,34.0524,-118.2467,300 W  2ND                          ST,0416 0429,102,0133,0200,"{'0416': 'Hit-Hit w/ weapon', '0429': 'Vict knocked to ground'}",2,2
90012,los angeles,01,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2010-04-12,2010-04-12,100100799,34.0672,-118.2385,YALE,0329 1251 1300,122,0111,1700,"{'0329': 'Vandalized', '1251': 'Victim was a student', '1300': 'Vehicle involved'}",3,3
